{'model': 'vgae', 'task': 'train', 'dataset': 'dblp', 'dgl_data': False, 'device': 'cuda', 'seed': 0, 'epochs': 200, 'print_every': 1, 'save_every': -1, 'lr': 0.001, 'weight_decay': 0.0005, 'hidden': 64, 'patience': 20, 'warmup': 50, 'dropout': 0.0, 'kd_temp': 4, 'kd_lambda': 0.5, 'hidden_vgae': 256, 'latent_size': 32, 'hgr_steps_per_epoch': 10, 'lambda_hgr': 0.5, 'hidden_hgr': 512, 'channels': 8, 'lambda_dd': 0.1, 'alpha': 0.1, 'beta': 1.0, 'gamma': 5.0, 'adv_steps_per_epoch': 2, 'mask_warmup': 0.4}
--- Starting train VGAE on dblp ---
Starting Stage 1 (VGAE) training on dblp...
Epoch 84 | Train Loss: 6.2204 | Val Loss: 6.1598 | LS: 0.0028 | LX: 4.4588 | LA: 1.3851 | HGR: 0.2803 | KL: 1.9632 | Ent: -0.0124 | Time: 0.09s
Epoch 85 | Train Loss: 6.1426 | Val Loss: 6.1594 | LS: 0.0033 | LX: 4.4478 | LA: 1.3834 | HGR: 0.1531 | KL: 1.8412 | Ent: -0.0173 | Time: 0.09s
Epoch 86 | Train Loss: 6.1901 | Val Loss: 6.1944 | LS: 0.0042 | LX: 4.4514 | LA: 1.3829 | HGR: 0.2299 | KL: 1.8046 | Ent: -0.0183 | Time: 0.09s
Epoch 87 | Train Loss: 6.1701 | Val Loss: 6.1856 | LS: 0.0029 | LX: 4.4525 | LA: 1.3820 | HGR: 0.2137 | KL: 1.8472 | Ent: -0.0150 | Time: 0.09s
Epoch 88 | Train Loss: 6.1563 | Val Loss: 6.1492 | LS: 0.0016 | LX: 4.4503 | LA: 1.3819 | HGR: 0.2137 | KL: 1.9234 | Ent: -0.0093 | Time: 0.09s
Epoch 89 | Train Loss: 6.1068 | Val Loss: 6.1015 | LS: 0.0015 | LX: 4.4503 | LA: 1.3820 | HGR: 0.1277 | KL: 1.8617 | Ent: -0.0093 | Time: 0.09s
Epoch 90 | Train Loss: 6.1717 | Val Loss: 6.1297 | LS: 0.0066 | LX: 4.4472 | LA: 1.3829 | HGR: 0.1710 | KL: 1.7362 | Ent: -0.0162 | Time: 0.09s
Epoch 91 | Train Loss: 6.2024 | Val Loss: 6.1636 | LS: 0.0096 | LX: 4.4501 | LA: 1.3831 | HGR: 0.1698 | KL: 1.6567 | Ent: -0.0221 | Time: 0.09s
Epoch 92 | Train Loss: 6.1705 | Val Loss: 6.2312 | LS: 0.0060 | LX: 4.4448 | LA: 1.3823 | HGR: 0.1868 | KL: 1.6705 | Ent: -0.0234 | Time: 0.09s
Epoch 93 | Train Loss: 6.1595 | Val Loss: 6.2855 | LS: 0.0031 | LX: 4.4459 | LA: 1.3794 | HGR: 0.2160 | KL: 1.7944 | Ent: -0.0156 | Time: 0.09s
