{'model': 'vgae', 'task': 'train', 'dataset': 'pokec_z', 'dgl_data': False, 'device': 'cuda', 'seed': 0, 'epochs': 200, 'print_every': 1, 'save_every': -1, 'lr': 0.001, 'weight_decay': 0.0005, 'hidden': 64, 'patience': 20, 'warmup': 50, 'dropout': 0.0, 'kd_temp': 4, 'kd_lambda': 0.5, 'hidden_vgae': 256, 'latent_size': 32, 'hgr_steps_per_epoch': 10, 'lambda_hgr': 0.5, 'hidden_hgr': 512, 'channels': 8, 'lambda_dd': 0.1, 'alpha': 0.1, 'beta': 1.0, 'gamma': 5.0, 'adv_steps_per_epoch': 2, 'mask_warmup': 0.4}
--- Starting train VGAE on pokec_z ---
Starting Stage 1 (VGAE) training on pokec_z...
Epoch 92 | Train Loss: 4.1309 | Val Loss: 4.3508 | LS: 0.0694 | LX: 1.5498 | LA: 1.2482 | HGR: -0.0169 | KL: 5.5696 | Ent: -0.0907 | Time: 0.36s
Epoch 93 | Train Loss: 4.0322 | Val Loss: 4.2706 | LS: 0.0609 | LX: 1.5500 | LA: 1.2452 | HGR: -0.0282 | KL: 5.5329 | Ent: -0.0884 | Time: 0.36s
Epoch 94 | Train Loss: 4.1186 | Val Loss: 4.2794 | LS: 0.0714 | LX: 1.5506 | LA: 1.2409 | HGR: -0.0184 | KL: 5.3551 | Ent: -0.0873 | Time: 0.36s
Epoch 95 | Train Loss: 4.0990 | Val Loss: 4.3307 | LS: 0.0718 | LX: 1.5502 | LA: 1.2377 | HGR: -0.0520 | KL: 5.3308 | Ent: -0.0857 | Time: 0.36s
Epoch 96 | Train Loss: 4.0252 | Val Loss: 4.3282 | LS: 0.0611 | LX: 1.5495 | LA: 1.2360 | HGR: -0.0202 | KL: 5.5356 | Ent: -0.0854 | Time: 0.36s
Epoch 97 | Train Loss: 3.9845 | Val Loss: 4.2397 | LS: 0.0579 | LX: 1.5492 | LA: 1.2358 | HGR: -0.0157 | KL: 5.4792 | Ent: -0.0809 | Time: 0.36s
Epoch 98 | Train Loss: 4.0483 | Val Loss: 4.2575 | LS: 0.0671 | LX: 1.5498 | LA: 1.2323 | HGR: -0.0133 | KL: 5.2308 | Ent: -0.0790 | Time: 0.36s
Epoch 99 | Train Loss: 3.9712 | Val Loss: 4.3148 | LS: 0.0597 | LX: 1.5507 | LA: 1.2300 | HGR: -0.0094 | KL: 5.2053 | Ent: -0.0774 | Time: 0.36s
Epoch 100 | Train Loss: 3.9972 | Val Loss: 4.3077 | LS: 0.0602 | LX: 1.5502 | LA: 1.2304 | HGR: -0.0096 | KL: 5.4059 | Ent: -0.0786 | Time: 0.36s
Epoch 101 | Train Loss: 3.9306 | Val Loss: 4.2489 | LS: 0.0536 | LX: 1.5498 | LA: 1.2261 | HGR: 0.0092 | KL: 5.3665 | Ent: -0.0774 | Time: 0.36s
Epoch 102 | Train Loss: 3.9488 | Val Loss: 4.2412 | LS: 0.0588 | LX: 1.5524 | LA: 1.2219 | HGR: -0.0029 | KL: 5.1448 | Ent: -0.0733 | Time: 0.36s
Epoch 103 | Train Loss: 3.8507 | Val Loss: 4.2878 | LS: 0.0521 | LX: 1.5530 | LA: 1.2196 | HGR: -0.0496 | KL: 5.1085 | Ent: -0.0706 | Time: 0.36s
Epoch 104 | Train Loss: 3.8969 | Val Loss: 4.2674 | LS: 0.0536 | LX: 1.5549 | LA: 1.2202 | HGR: -0.0285 | KL: 5.2809 | Ent: -0.0720 | Time: 0.36s
Epoch 105 | Train Loss: 3.8114 | Val Loss: 4.2302 | LS: 0.0448 | LX: 1.5538 | LA: 1.2174 | HGR: 0.0011 | KL: 5.2320 | Ent: -0.0685 | Time: 0.36s
Epoch 106 | Train Loss: 3.9036 | Val Loss: 4.2254 | LS: 0.0540 | LX: 1.5670 | LA: 1.2143 | HGR: 0.0194 | KL: 5.0493 | Ent: -0.0677 | Time: 0.36s
Epoch 107 | Train Loss: 3.8800 | Val Loss: 4.2485 | LS: 0.0532 | LX: 1.5592 | LA: 1.2124 | HGR: 0.0034 | KL: 5.0375 | Ent: -0.0710 | Time: 0.36s
Epoch 108 | Train Loss: 3.8039 | Val Loss: 4.2753 | LS: 0.0444 | LX: 1.5557 | LA: 1.2116 | HGR: 0.0165 | KL: 5.1889 | Ent: -0.0658 | Time: 0.36s
Epoch 109 | Train Loss: 3.7995 | Val Loss: 4.2208 | LS: 0.0451 | LX: 1.5706 | LA: 1.2102 | HGR: -0.0259 | KL: 5.1542 | Ent: -0.0657 | Time: 0.36s
Epoch 110 | Train Loss: 3.7862 | Val Loss: 4.2540 | LS: 0.0440 | LX: 1.5808 | LA: 1.2070 | HGR: -0.0014 | KL: 4.9607 | Ent: -0.0632 | Time: 0.36s
Epoch 111 | Train Loss: 3.8866 | Val Loss: 4.2416 | LS: 0.0523 | LX: 1.6045 | LA: 1.2056 | HGR: -0.0049 | KL: 4.9265 | Ent: -0.0634 | Time: 0.36s
Epoch 112 | Train Loss: 3.7658 | Val Loss: 4.2720 | LS: 0.0445 | LX: 1.5731 | LA: 1.2047 | HGR: -0.0396 | KL: 5.0054 | Ent: -0.0619 | Time: 0.36s
Epoch 113 | Train Loss: 3.7908 | Val Loss: 4.1879 | LS: 0.0431 | LX: 1.6123 | LA: 1.2035 | HGR: -0.0238 | KL: 4.9601 | Ent: -0.0601 | Time: 0.36s
Epoch 114 | Train Loss: 3.7377 | Val Loss: 4.2107 | LS: 0.0421 | LX: 1.5729 | LA: 1.2020 | HGR: -0.0102 | KL: 4.8557 | Ent: -0.0610 | Time: 0.36s
Epoch 115 | Train Loss: 3.6831 | Val Loss: 4.2075 | LS: 0.0349 | LX: 1.5951 | LA: 1.2028 | HGR: -0.0085 | KL: 4.8580 | Ent: -0.0543 | Time: 0.36s
Epoch 116 | Train Loss: 3.7085 | Val Loss: 4.2041 | LS: 0.0402 | LX: 1.5735 | LA: 1.2032 | HGR: -0.0255 | KL: 4.8367 | Ent: -0.0591 | Time: 0.36s
Epoch 117 | Train Loss: 3.7497 | Val Loss: 4.1651 | LS: 0.0419 | LX: 1.5948 | LA: 1.2010 | HGR: 0.0065 | KL: 4.7227 | Ent: -0.0592 | Time: 0.36s
Epoch 118 | Train Loss: 3.6951 | Val Loss: 4.2189 | LS: 0.0411 | LX: 1.5707 | LA: 1.2022 | HGR: -0.0240 | KL: 4.6625 | Ent: -0.0567 | Time: 0.36s
Epoch 119 | Train Loss: 3.7756 | Val Loss: 4.1656 | LS: 0.0453 | LX: 1.5989 | LA: 1.2076 | HGR: -0.0096 | KL: 4.6266 | Ent: -0.0583 | Time: 0.36s
